Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Footing 60',Running,--,"Sat, Nov 1, 2014 15:23",1:00:15,11.94,6,5:03,3:50,--,--,762,--,--,--,--,--,--,
false,Récupération,Running,--,"Sat, Nov 1, 2014 16:26",3:19,0.42,--,7:57,5:02,--,--,24,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Nov 2, 2014 16:31",24:59,4.20,--,5:57,4:15,--,--,267,--,--,--,--,--,--,
false,Footing 40',Running,--,"Thu, Nov 6, 2014 19:43",41:45,7.66,20,5:27,2:32,--,--,485,--,--,--,--,--,--,
false,Footing 50',Running,--,"Sat, Nov 8, 2014 15:22",47:57,10.07,2,4:46,3:55,--,--,647,--,--,--,--,--,--,
false,Footing 45',Running,--,"Sun, Nov 9, 2014 15:48",45:18,8.01,1,5:39,3:37,--,--,510,--,--,--,--,--,--,
false,Footing 40',Running,--,"Tue, Nov 11, 2014 16:05",41:47,6.04,2,6:55,2:46,--,--,407,--,--,--,--,--,--,
false,Warmup,Running,--,"Thu, Nov 13, 2014 19:51",25:45,5.01,16,5:08,2:44,--,--,311,--,--,--,--,--,--,
false,"1*10*(30""-30"")",Running,--,"Thu, Nov 13, 2014 20:20",9:37,2.50,20,3:51,2:44,--,--,154,--,--,--,--,--,--,
false,Cool down,Running,--,"Thu, Nov 13, 2014 20:31",13:04,2.01,7,6:30,4:29,--,--,118,--,--,--,--,--,--,
false,Footing 30',Running,--,"Sat, Nov 15, 2014 15:49",28:13,5.27,--,5:21,:54,163,176,302,--,--,--,--,--,3.8,
false,Footing 45',Running,--,"Sun, Nov 16, 2014 11:46",45:47,7.14,2,6:25,3:11,143,168,386,--,--,--,--,--,2.7,
false,Footing 50',Running,--,"Wed, Nov 19, 2014 20:09",50:10,7.72,11,6:30,4:26,--,--,499,--,--,--,--,--,--,
false,Footing 40',Running,--,"Sat, Nov 22, 2014 15:27",41:16,8.67,6,4:45,1:59,--,--,561,--,--,--,--,--,--,
false,Footing,Running,--,"Sun, Nov 23, 2014 15:14",25:23,5.20,1,4:53,4:21,--,--,330,--,--,--,--,--,--,
false,Cool down,Running,--,"Sun, Nov 23, 2014 15:40",6:15,0.99,--,6:19,1:02,--,--,63,--,--,--,--,--,--,
false,Footing 40',Running,--,"Sat, Nov 29, 2014 15:40",40:45,7.68,5,5:18,2:36,--,--,497,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Nov 30, 2014 15:00",10:29,1.98,--,5:18,4:54,--,--,125,--,--,--,--,--,--,
