Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
true,Saintésprint,Running,--,"Sat, Dec 6, 2014 23:01",2:04:35,23.15,410,5:23,1:34,--,--,"1,422",--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Dec 13, 2014 15:32",16:38,3.22,2,5:10,1:17,--,--,201,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Dec 14, 2014 15:54",33:31,7.02,5,4:46,1:59,--,--,446,--,--,--,--,--,--,
false,Untitled,Running,--,"Tue, Dec 16, 2014 20:00",58:03,10.47,47,5:33,1:07,--,--,665,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Dec 20, 2014 15:32",31:38,6.48,9,4:53,:30,--,--,404,--,--,--,--,--,--,
false,Montcy-Notre-Dame Running,Running,--,"Wed, Dec 24, 2014 15:23",47:05,6.74,183,6:59,1:35,--,--,391,--,--,--,--,--,--,
false,Untitled,Running,--,"Mon, Dec 29, 2014 15:38",19:15,2.79,--,6:55,5:52,--,--,178,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Wed, Dec 31, 2014 14:02",53:09,10.08,3,5:16,3:49,--,--,633,--,--,--,--,--,--,
