Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Untitled,Running,--,"Sat, May 3, 2014 16:06",42:31,8.17,6,5:12,1:46,179,187,481,--,--,--,--,--,--,5.0,
false,Untitled,Running,--,"Sun, May 4, 2014 11:57",49:13,10.02,5,4:55,3:09,177,186,541,--,--,--,--,--,--,5.0,
false,Untitled,Running,--,"Thu, May 8, 2014 16:26",37:16,6.19,1,6:01,:22,175,182,407,--,--,--,--,--,--,4.4,
false,Untitled,Running,--,"Thu, May 15, 2014 20:54",23:31,4.62,47,5:05,2:22,--,--,284,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, May 17, 2014 14:51",53:51,10.02,--,5:23,4:54,--,--,620,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, May 18, 2014 16:47",27:06,5.03,5,5:23,2:07,--,--,302,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, May 24, 2014 16:47",54:59,10.09,--,5:27,3:50,--,--,628,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Thu, May 29, 2014 17:15",30:39,6.08,3,5:02,2:27,180,186,340,--,--,--,--,--,--,4.8,
false,Untitled,Running,--,"Fri, May 30, 2014 20:05",16:40,3.37,17,4:57,:47,--,--,206,--,--,--,--,--,--,--,
false,"10x30"" 30""",Running,--,"Fri, May 30, 2014 20:29",9:33,2.38,20,4:01,2:01,--,--,148,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Fri, May 30, 2014 20:50",7:57,1.37,--,5:49,:57,--,--,94,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, May 31, 2014 17:16",41:08,8.11,1,5:04,2:09,174,183,443,--,--,--,--,--,--,5.0,
