Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Untitled,Running,--,"Tue, Jul 1, 2014 21:08",41:49,9.11,1,4:35,3:02,--,--,567,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jul 2, 2014 21:20",30:24,6.04,1,5:02,2:56,172,182,325,--,--,--,--,--,--,4.6,
false,Untitled,Running,--,"Thu, Jul 3, 2014 21:12",30:51,6.09,4,5:04,2:06,--,--,386,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Jul 5, 2014 17:52",21:54,4.18,2,5:14,3:05,--,--,258,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Jul 6, 2014 21:03",47:54,10.14,--,4:44,2:58,177,184,538,--,--,--,--,--,--,5.0,
false,Untitled,Running,--,"Fri, Jul 11, 2014 21:09",39:32,8.01,3,4:56,:57,--,--,516,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Mon, Jul 14, 2014 19:15",28:59,6.07,1,4:46,3:38,--,--,382,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Tue, Jul 15, 2014 21:05",34:14,6.79,3,5:02,2:26,--,--,438,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jul 16, 2014 21:14",32:14,6.20,2,5:12,3:13,--,--,391,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Thu, Jul 17, 2014 21:06",30:43,6.11,--,5:02,3:10,--,--,382,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Jul 19, 2014 21:05",27:40,5.23,--,5:17,2:53,--,--,323,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Mon, Jul 21, 2014 21:00",38:57,8.04,1,4:51,3:12,--,--,510,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jul 23, 2014 21:06",42:32,7.69,5,5:32,3:58,--,--,486,--,--,--,--,--,--,--,
false,Séance tapis,Treadmill Running,--,"Sat, Jul 26, 2014 16:01",28:23,5.22,--,5:27,4:17,--,--,323,--,--,--,--,--,--,--,
false,Séance tapis,Treadmill Running,--,"Sun, Jul 27, 2014 11:57",30:04,5.39,--,5:34,4:21,--,--,335,--,--,--,--,--,--,--,
false,"Monte, Funchal, Madère",Running,--,"Mon, Jul 28, 2014 10:20",1:14:03,10.31,576,7:11,3:54,--,--,593,--,--,--,--,--,--,--,
false,"Monte, Funchal, Madère",Running,--,"Wed, Jul 30, 2014 10:33",1:09:30,10.65,573,6:32,1:11,--,--,617,--,--,--,--,--,--,--,
