Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Untitled,Running,--,"Fri, Apr 4, 2014 18:17",30:57,6.16,5,5:01,1:13,--,--,398,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Apr 5, 2014 17:37",26:49,5.20,295,5:10,2:40,--,--,325,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Apr 5, 2014 18:06",17:33,3.07,--,5:43,3:25,--,--,189,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Apr 6, 2014 9:52",54:38,10.01,31,5:27,:15,--,--,620,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Apr 12, 2014 17:58",49:11,9.13,--,5:23,3:55,--,--,566,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Apr 13, 2014 10:23",58:09,10.57,207,5:30,1:07,--,--,660,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Apr 19, 2014 15:12",31:46,7.01,165,4:32,:28,185,190,373,--,--,--,--,--,--,5.0,
false,Untitled,Running,--,"Mon, Apr 21, 2014 16:58",26:08,5.16,185,5:04,2:18,175,186,287,--,--,--,--,--,--,4.5,
false,Untitled,Running,--,"Sat, Apr 26, 2014 16:48",38:36,7.13,1,5:25,1:49,179,189,440,--,--,--,--,--,--,5.0,
false,Untitled,Running,--,"Sun, Apr 27, 2014 16:27",44:44,9.01,17,4:58,1:21,172,189,472,--,--,--,--,--,--,5.0,
