Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,1h dont 2*10' R=2',Running,--,"Sat, Sep 6, 2014 16:31",1:00:00,10.87,--,5:31,3:26,--,--,664,--,--,--,--,--,--,--,
false,Footing 60',Running,--,"Sun, Sep 7, 2014 16:44",1:00:07,11.65,2,5:10,2:07,--,--,0,--,--,--,--,--,--,--,
false,Footing 45',Running,--,"Tue, Sep 9, 2014 20:02",45:51,9.60,2,4:47,3:06,--,--,0,--,--,--,--,--,--,--,
false,Footing 60',Running,--,"Fri, Sep 12, 2014 17:47",1:00:01,11.67,3,5:08,4:06,--,--,0,--,--,--,--,--,--,--,
false,2*(10*30'-30') cool,Running,--,"Mon, Sep 15, 2014 19:58",41:18,8.21,3,5:02,3:26,--,--,0,--,--,--,--,--,--,--,
false,Footing 45',Running,--,"Tue, Sep 16, 2014 20:15",45:00,10.06,5,4:28,2:18,--,--,0,--,--,--,--,--,--,--,
false,Footing 45',Running,--,"Fri, Sep 19, 2014 18:29",48:17,9.27,2,5:13,4:06,--,--,590,--,--,--,--,--,--,--,
false,Fartlek,Running,--,"Sat, Sep 20, 2014 16:18",35:11,7.49,4,4:42,4:15,177,182,402,--,--,--,--,--,--,5.0,
false,Fartlek 50',Running,--,"Sun, Sep 21, 2014 16:02",49:43,10.17,2,4:53,1:24,--,--,644,--,--,--,--,--,--,--,
false,WTF,Running,--,"Wed, Sep 24, 2014 19:06",30:51,6.45,1,4:47,1:17,--,--,416,--,--,--,--,--,--,--,
false,Fartlek 40',Running,--,"Thu, Sep 25, 2014 19:54",40:48,8.21,--,4:58,2:11,--,--,533,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Sep 27, 2014 16:45",34:38,7.01,1,4:56,3:41,--,--,443,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Sep 27, 2014 17:23",12:01,1.92,--,6:16,5:46,--,--,120,--,--,--,--,--,--,--,
false,Footing 60',Running,--,"Sun, Sep 28, 2014 16:18",1:00:45,11.27,--,5:23,3:07,164,185,656,--,--,--,--,--,--,5.0,
