Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Untitled,Running,--,"Sun, Jun 1, 2014 18:33",37:40,6.10,2,6:11,:49,--,--,402,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jun 4, 2014 20:59",23:27,4.83,2,4:51,3:52,--,--,300,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Fri, Jun 6, 2014 21:01",29:43,6.09,3,4:53,3:11,--,--,386,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Jun 7, 2014 16:03",1:00:09,11.21,31,5:22,3:06,--,--,682,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Jun 8, 2014 16:46",28:48,4.94,1,5:50,1:42,--,--,314,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Mon, Jun 9, 2014 20:54",26:03,5.24,0,4:58,2:28,--,--,334,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jun 11, 2014 21:12",15:17,3.14,0,4:52,4:04,--,--,182,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jun 11, 2014 21:31",14:36,3.18,--,4:36,3:06,--,--,190,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Fri, Jun 13, 2014 20:30",30:24,6.07,3,5:00,2:12,--,--,386,--,--,--,--,--,--,--,
false,10 Km l'Equipe,Running,10 Km l'Equipe,"Sun, Jun 15, 2014 9:36",41:18,10.48,42,3:57,:15,--,--,656,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jun 18, 2014 21:10",47:34,10.03,--,4:44,4:14,--,--,630,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Mon, Jun 23, 2014 21:00",50:14,10.15,6,4:57,2:07,--,--,645,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Wed, Jun 25, 2014 21:12",36:27,7.01,0,5:12,2:52,--,--,440,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Thu, Jun 26, 2014 21:13",30:50,6.18,2,5:00,2:16,--,--,392,--,--,--,--,--,--,--,
false,Untitled,Running,--,"Mon, Jun 30, 2014 21:10",33:54,7.02,3,4:50,1:52,177,187,372,--,--,--,--,--,--,5.0,
