Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Villeneuve-la-Garenne Running,Running,--,"Sun, Jan 31, 2016 11:14",1:07:00,13.73,13,4:53,3:17,--,--,860,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jan 23, 2016 16:42",1:00:00,11.77,2,5:06,2:45,--,--,733,--,--,--,--,--,--,
false,Saint-Ouen Running,Running,--,"Tue, Jan 19, 2016 21:40",8:58,1.38,--,6:29,4:59,--,--,86,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Tue, Jan 19, 2016 20:33",59:42,12.85,157,4:39,1:53,--,--,821,--,--,--,--,--,--,
false,Saint-Ouen Running,Running,--,"Mon, Jan 18, 2016 20:20",7:26,1.41,2,5:15,4:08,--,--,87,--,--,--,--,--,--,
false,Saint-Ouen Running,Running,--,"Mon, Jan 18, 2016 19:41",31:45,7.06,28,4:30,3:08,--,--,442,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jan 10, 2016 15:07",33:20,6.78,6,4:55,3:25,--,--,423,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Jan 9, 2016 16:21",42:04,7.98,--,5:16,3:46,--,--,509,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jan 2, 2016 15:45",29:10,6.18,1,4:43,3:01,--,--,393,--,--,--,--,--,--,
