Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #2085088424,Running,--,"Sat, Jun 1, 2013 15:10",41:24,7.99,--,5:10,--,--,--,489,--,--,--,--,--,--,--,
false,Nike+ activity #814932942,Running,--,"Sat, Jun 1, 2013 19:48",52:00,9.19,--,5:40,--,--,--,562,--,--,--,--,--,--,--,
false,Nike+ activity #831348199,Running,--,"Sun, Jun 2, 2013 15:47",1:03:15,12.80,--,4:58,--,--,--,783,--,--,--,--,--,--,--,
false,Nike+ activity #39344569000,Running,--,"Fri, Jun 7, 2013 15:25",43:17,10.17,--,4:15,--,--,--,621,--,--,--,--,--,--,--,
false,Nike+ activity #718753095,Running,--,"Fri, Jun 7, 2013 19:03",31:18,6.44,--,4:53,--,--,--,394,--,--,--,--,--,--,--,
false,Nike+ activity #2014578126,Running,--,"Fri, Jun 7, 2013 20:44",36:20,8.27,--,4:23,--,--,--,506,--,--,--,--,--,--,--,
false,Nike+ activity #2014574214,Running,--,"Fri, Jun 7, 2013 21:27",15:23,3.09,--,4:58,--,--,--,189,--,--,--,--,--,--,--,
false,Nike+ activity #2027221931,Running,--,"Sat, Jun 8, 2013 20:34",46:32,10.24,--,4:33,--,--,--,626,--,--,--,--,--,--,--,
false,Sedan-Charleville 2013,Running,--,"Mon, Jun 10, 2013 14:00",1:46:52,24.45,--,4:23,--,--,--,"1,495",--,--,--,--,--,--,--,
false,Nike+ activity #772196182,Running,--,"Mon, Jun 10, 2013 16:34",29:51,6.15,--,4:50,--,--,--,376,--,--,--,--,--,--,--,
false,Nike+ activity #772596663,Running,--,"Mon, Jun 10, 2013 17:04",21:11,4.07,--,5:13,--,--,--,249,--,--,--,--,--,--,--,
false,Nike+ activity #785008371,Running,--,"Tue, Jun 11, 2013 19:39",36:55,7.86,--,4:41,--,--,--,481,--,--,--,--,--,--,--,
false,Nike+ activity #784667054,Running,--,"Tue, Jun 11, 2013 20:40",10:13,1.89,--,5:24,--,--,--,115,--,--,--,--,--,--,--,
false,Nike+ activity #27172283000,Running,--,"Sat, Jun 15, 2013 18:03",24:34,6.11,--,4:02,--,--,--,374,--,--,--,--,--,--,--,
false,Nike+ activity #27172289000,Running,--,"Sun, Jun 16, 2013 18:05",25:21,6.27,--,4:03,--,--,--,383,--,--,--,--,--,--,--,
