Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #849810552,Running,--,"Fri, May 3, 2013 16:29",19:16,4.10,--,4:41,--,--,--,251,--,--,--,--,--,--,--,
false,Nike+ activity #849616207,Running,--,"Fri, May 3, 2013 16:49",5:56,1.04,--,5:43,--,--,--,64,--,--,--,--,--,--,--,
false,Nike+ activity #649646571,Running,--,"Fri, May 3, 2013 20:39",38:16,7.15,--,5:21,--,--,--,437,--,--,--,--,--,--,--,
false,Nike+ activity #891468259,Running,--,"Sun, May 5, 2013 16:57",50:12,10.39,--,4:50,--,--,--,635,--,--,--,--,--,--,--,
false,Nike+ activity #694525081,Running,--,"Sun, May 5, 2013 17:31",21:48,4.42,--,4:46,--,--,--,270,--,--,--,--,--,--,--,
false,Nike+ activity #694525084,Running,--,"Sun, May 5, 2013 18:04",3:51,0.65,--,5:56,--,--,--,40,--,--,--,--,--,--,--,
false,Nike+ activity #2001548648,Running,--,"Mon, May 6, 2013 18:14",50:43,10.21,--,4:58,--,--,--,624,--,--,--,--,--,--,--,
false,Nike+ activity #2001540958,Running,--,"Mon, May 6, 2013 19:07",5:33,1.03,--,5:24,--,--,--,63,--,--,--,--,--,--,--,
false,Nike+ activity #20826569000,Running,--,"Mon, May 6, 2013 20:28",24:44,6.21,--,3:58,--,--,--,380,--,--,--,--,--,--,--,
false,Nike+ activity #718550370,Running,--,"Tue, May 7, 2013 20:45",25:17,4.98,--,5:05,--,--,--,304,--,--,--,--,--,--,--,
false,Nike+ activity #2026954235,Running,--,"Wed, May 8, 2013 20:34",31:15,7.08,--,4:25,--,--,--,433,--,--,--,--,--,--,--,
false,Nike+ activity #2042200054,Running,--,"Thu, May 9, 2013 17:45",35:34,7.33,--,4:50,--,--,--,448,--,--,--,--,--,--,--,
false,Nike+ activity #771863835,Running,--,"Fri, May 10, 2013 16:47",24:47,4.21,--,5:53,--,--,--,258,--,--,--,--,--,--,--,
false,Nike+ activity #17456320000,Running,--,"Sat, May 18, 2013 16:56",17:14,4.13,--,4:10,--,--,--,252,--,--,--,--,--,--,--,
false,Nike+ activity #17456325000,Running,--,"Sun, May 19, 2013 15:03",29:17,6.95,--,4:14,--,--,--,425,--,--,--,--,--,--,--,
