Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #631042881,Running,--,"Wed, Jan 2, 2013 20:13",54:15,10.05,--,5:24,--,--,--,615,--,--,--,--,--,--,--,
false,Nike+ activity #889268232,Running,--,"Sat, Jan 5, 2013 15:51",40:08,6.78,--,--,--,--,--,415,--,--,--,--,--,--,--,
false,Nike+ activity #2138653799,Running,--,"Sat, Jan 5, 2013 15:57",27:30,6.92,--,--,--,--,--,423,--,--,--,--,--,--,--,
false,Nike+ activity #17456339000,Running,--,"Sun, Jan 6, 2013 16:48",18:53,4.51,--,--,--,--,--,276,--,--,--,--,--,--,--,
false,Nike+ activity #2001546670,Running,--,"Sun, Jan 6, 2013 20:05",55:20,10.96,--,5:03,--,--,--,670,--,--,--,--,--,--,--,
false,Nike+ activity #705025787,Running,--,"Sun, Jan 6, 2013 20:38",40:03,8.10,--,4:58,--,--,--,495,--,--,--,--,--,--,--,
false,Nike+ activity #705326576,Running,--,"Sun, Jan 6, 2013 21:27",4:33,0.67,--,--,--,--,--,41,--,--,--,--,--,--,--,
false,Nike+ activity #37988749000,Running,--,"Mon, Jan 7, 2013 20:38",23:58,6.12,--,--,--,--,--,374,--,--,--,--,--,--,--,
false,Nike+ activity #42491432479,Running,--,"Tue, Jan 8, 2013 21:15",20:54,4.85,--,--,--,--,--,297,--,--,--,--,--,--,--,
false,Nike+ activity #42491428736,Running,--,"Tue, Jan 8, 2013 21:38",7:04,1.42,--,--,--,--,--,87,--,--,--,--,--,--,--,
false,Nike+ activity #42509369343,Running,--,"Wed, Jan 9, 2013 14:19",53:54,12.34,--,4:23,--,--,--,754,--,--,--,--,--,--,--,
false,Nike+ activity #750279723,Running,--,"Wed, Jan 9, 2013 17:29",:55,0.13,--,--,--,--,--,8,--,--,--,--,--,--,--,
false,Nike+ activity #751237929,Running,--,"Wed, Jan 9, 2013 17:31",24:50,5.06,--,--,--,--,--,309,--,--,--,--,--,--,--,
false,Nike+ activity #751040893,Running,--,"Wed, Jan 9, 2013 18:01",23:39,4.10,--,5:46,--,--,--,251,--,--,--,--,--,--,--,
false,Nike+ activity #2053018545,Running,--,"Thu, Jan 10, 2013 16:49",27:38,6.75,--,4:05,--,--,--,413,--,--,--,--,--,--,--,
false,Nike+ activity #2053016611,Running,--,"Thu, Jan 10, 2013 17:20",6:11,1.22,--,--,--,--,--,75,--,--,--,--,--,--,--,
false,Nike+ activity #2065473230,Running,--,"Fri, Jan 11, 2013 10:27",32:47,6.95,--,--,--,--,--,430,--,--,--,--,--,--,--,
false,Nike+ activity #2089295494,Running,--,"Tue, Jan 15, 2013 20:22",30:06,7.07,--,--,--,--,--,432,--,--,--,--,--,--,--,
false,Nike+ activity #2090732722,Running,--,"Sat, Jan 19, 2013 12:51",30:56,7.44,--,4:10,--,--,--,455,--,--,--,--,--,--,--,
false,Nike+ activity #2093455231,Running,--,"Sun, Jan 20, 2013 12:36",8:05,1.38,--,--,--,--,--,84,--,--,--,--,--,--,--,
false,Nike+ activity #2093456205,Running,--,"Tue, Jan 22, 2013 20:35",16:18,3.05,--,--,--,--,--,186,--,--,--,--,--,--,--,
