Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #813467267,Running,--,"Fri, Mar 1, 2013 15:25",51:53,10.03,--,5:10,--,--,--,613,--,--,--,--,--,--,--,
false,Nike+ activity #2083872426,Running,--,"Fri, Mar 1, 2013 20:27",29:38,6.16,--,--,--,--,--,376,--,--,--,--,--,--,--,
false,Nike+ activity #2109478574,Running,--,"Sun, Mar 3, 2013 10:23",1:56:10,25.03,--,4:39,--,--,--,"1,530",--,--,--,--,--,--,--,
false,Nike+ activity #660675058,Running,--,"Mon, Mar 4, 2013 18:30",34:02,7.21,--,--,--,--,--,441,--,--,--,--,--,--,--,
false,Nike+ activity #2118474235,Running,--,"Wed, Mar 6, 2013 15:45",26:29,5.72,--,--,--,--,--,350,--,--,--,--,--,--,--,
false,Nike+ activity #2025669898,Running,--,"Fri, Mar 8, 2013 9:02",59:26,12.44,--,4:46,--,--,--,760,--,--,--,--,--,--,--,
false,Nike+ activity #736443273,Running,--,"Fri, Mar 8, 2013 17:10",21:28,4.53,--,4:43,--,--,--,277,--,--,--,--,--,--,--,
false,Nike+ activity #42499593153,Running,--,"Fri, Mar 8, 2013 18:37",42:50,10.18,--,4:12,--,--,--,622,--,--,--,--,--,--,--,
false,Nike+ activity #42517084244,Running,--,"Sat, Mar 9, 2013 16:39",45:03,10.05,--,4:29,--,--,--,614,--,--,--,--,--,--,--,
false,Nike+ activity #2040243022,Running,--,"Sat, Mar 9, 2013 16:52",29:44,7.10,--,--,--,--,--,434,--,--,--,--,--,--,--,
false,Nike+ activity #2040242060,Running,--,"Sat, Mar 9, 2013 17:23",15:20,3.19,--,--,--,--,--,195,--,--,--,--,--,--,--,
false,Nike+ activity #751917477,Running,--,"Sat, Mar 9, 2013 18:06",43:15,8.86,--,--,--,--,--,542,--,--,--,--,--,--,--,
false,Nike+ activity #751655344,Running,--,"Sat, Mar 9, 2013 18:52",8:20,0.75,--,11:07,--,--,--,46,--,--,--,--,--,--,--,
false,Nike+ activity #42512917305,Running,--,"Sat, Mar 9, 2013 19:57",11:46,2.45,--,--,--,--,--,150,--,--,--,--,--,--,--,
false,Nike+ activity #4899000000018988620670016575216983918608,Running,--,"Sun, Mar 10, 2013 20:25",31:06,5.88,--,5:19,--,--,--,359,--,--,--,--,--,--,--,
false,Nike+ activity #2077116864,Running,--,"Tue, Mar 12, 2013 13:17",26:04,6.25,--,4:10,--,--,--,382,--,--,--,--,--,--,--,
false,Nike+ activity #2118477157,Running,--,"Sat, Mar 16, 2013 16:13",6:13,1.00,--,--,--,--,--,61,--,--,--,--,--,--,--,
