Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #633507068,Running,--,"Sat, Feb 2, 2013 17:04",22:46,4.31,--,--,--,--,--,263,--,--,--,--,--,--,--,
false,Nike+ activity #829270221,Running,--,"Sat, Feb 2, 2013 20:08",54:42,10.22,--,--,--,--,--,625,--,--,--,--,--,--,--,
false,Nike+ activity #649118618,Running,--,"Sun, Feb 3, 2013 17:08",31:07,5.47,--,--,--,--,--,334,--,--,--,--,--,--,--,
false,Nike+ activity #845319113,Running,--,"Sun, Feb 3, 2013 17:35",32:42,6.67,--,--,--,--,--,407,--,--,--,--,--,--,--,
false,Nike+ activity #868443343,Running,--,"Mon, Feb 4, 2013 16:38",49:11,9.89,--,4:58,--,--,--,604,--,--,--,--,--,--,--,
false,Nike+ activity #20826553000,Running,--,"Wed, Feb 6, 2013 16:35",23:02,5.55,--,--,--,--,--,339,--,--,--,--,--,--,--,
false,Nike+ activity #707183895,Running,--,"Wed, Feb 6, 2013 20:21",30:27,5.16,--,--,--,--,--,315,--,--,--,--,--,--,--,
false,Nike+ activity #2012143948,Running,--,"Thu, Feb 7, 2013 16:25",32:41,7.72,--,4:14,--,--,--,472,--,--,--,--,--,--,--,
false,Nike+ activity #2012141961,Running,--,"Thu, Feb 7, 2013 17:00",24:50,5.65,--,4:15,--,--,--,345,--,--,--,--,--,--,--,
false,Nike+ activity #2025679176,Running,--,"Fri, Feb 8, 2013 20:25",32:46,6.92,--,4:43,--,--,--,423,--,--,--,--,--,--,--,
false,Nike+ activity #2053397284,Running,--,"Sun, Feb 10, 2013 11:46",22:09,4.64,--,--,--,--,--,284,--,--,--,--,--,--,--,
false,Nike+ activity #2053398310,Running,--,"Sun, Feb 10, 2013 12:27",10:11,1.07,--,--,--,--,--,66,--,--,--,--,--,--,--,
false,Nike+ activity #2065944396,Running,--,"Mon, Feb 11, 2013 14:25",1:07:05,14.74,--,4:33,--,--,--,853,--,--,--,--,--,--,--,
