Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #2085712553,Running,--,"Mon, Jul 1, 2013 19:40",36:08,7.88,--,4:35,--,--,--,482,--,--,--,--,--,--,--,
false,Nike+ activity #850107921,Running,--,"Wed, Jul 3, 2013 20:04",43:13,9.08,--,4:46,--,--,--,555,--,--,--,--,--,--,--,
false,Nike+ activity #651345295,Running,--,"Wed, Jul 3, 2013 20:31",32:11,6.99,--,4:37,--,--,--,427,--,--,--,--,--,--,--,
false,Nike+ activity #849908844,Running,--,"Wed, Jul 3, 2013 21:12",7:32,1.61,--,4:41,--,--,--,99,--,--,--,--,--,--,--,
false,Nike+ activity #871788351,Running,--,"Thu, Jul 4, 2013 20:40",44:50,7.01,--,6:23,--,--,--,429,--,--,--,--,--,--,--,
false,Nike+ activity #893559972,Running,--,"Fri, Jul 5, 2013 16:58",46:05,10.04,--,4:35,--,--,--,614,--,--,--,--,--,--,--,
false,Nike+ activity #894210983,Running,--,"Fri, Jul 5, 2013 17:46",7:50,1.23,--,6:23,--,--,--,75,--,--,--,--,--,--,--,
false,Nike+ activity #27172258000,Running,--,"Sat, Jul 6, 2013 20:43",22:13,5.38,--,4:08,--,--,--,329,--,--,--,--,--,--,--,
false,Nike+ activity #718476440,Running,--,"Sun, Jul 7, 2013 19:21",33:00,7.31,--,4:31,--,--,--,447,--,--,--,--,--,--,--,
false,Nike+ activity #39654221000,Running,--,"Sun, Jul 7, 2013 20:05",41:37,10.01,--,4:10,--,--,--,612,--,--,--,--,--,--,--,
false,Nike+ activity #2027652436,Running,--,"Mon, Jul 8, 2013 19:50",29:59,6.53,--,4:35,--,--,--,399,--,--,--,--,--,--,--,
false,Nike+ activity #2027648550,Running,--,"Mon, Jul 8, 2013 20:26",13:54,2.65,--,5:16,--,--,--,162,--,--,--,--,--,--,--,
false,Nike+ activity #2042197229,Running,--,"Tue, Jul 9, 2013 18:32",35:56,8.28,--,4:21,--,--,--,506,--,--,--,--,--,--,--,
false,Nike+ activity #2042199076,Running,--,"Tue, Jul 9, 2013 19:25",8:32,1.55,--,5:30,--,--,--,95,--,--,--,--,--,--,--,
false,Nike+ activity #2067971579,Running,--,"Thu, Jul 11, 2013 15:54",27:26,6.42,--,4:17,--,--,--,392,--,--,--,--,--,--,--,
false,Nike+ activity #2078605155,Running,--,"Fri, Jul 12, 2013 20:30",26:03,5.28,--,4:55,--,--,--,323,--,--,--,--,--,--,--,
false,Nike+ activity #42481555237,Running,--,"Sun, Jul 14, 2013 17:37",39:21,9.39,--,4:12,--,--,--,574,--,--,--,--,--,--,--,
false,Nike+ activity #42481553323,Running,--,"Mon, Jul 15, 2013 20:35",27:55,7.15,--,3:54,--,--,--,437,--,--,--,--,--,--,--,
false,Nike+ activity #42483354507,Running,--,"Tue, Jul 16, 2013 20:42",23:45,6.21,--,3:49,--,--,--,379,--,--,--,--,--,--,--,
false,Nike+ activity #42483351816,Running,--,"Thu, Jul 18, 2013 21:19",23:57,6.08,--,3:57,--,--,--,371,--,--,--,--,--,--,--,
false,Nike+ activity #42484343401,Running,--,"Sat, Jul 20, 2013 18:39",34:38,8.58,--,3:58,--,--,--,525,--,--,--,--,--,--,--,
false,Nike+ activity #42484892123,Running,--,"Sun, Jul 21, 2013 18:50",41:32,10.25,--,4:03,--,--,--,627,--,--,--,--,--,--,--,
