Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #816649198,Running,--,"Tue, Oct 1, 2013 16:08",20:34,4.57,--,4:31,--,--,--,279,--,--,--,--,--,--,--,
false,Nike+ activity #817548903,Running,--,"Tue, Oct 1, 2013 16:33",8:18,1.65,--,5:03,--,--,--,101,--,--,--,--,--,--,--,
false,Nike+ activity #2118478125,Running,--,"Thu, Oct 3, 2013 16:47",14:28,3.03,--,4:46,--,--,--,185,--,--,--,--,--,--,--,
false,Nike+ activity #873752905,Running,--,"Fri, Oct 4, 2013 12:07",26:47,6.16,--,4:21,--,--,--,377,--,--,--,--,--,--,--,
false,Nike+ activity #873752905,Running,--,"Fri, Oct 4, 2013 12:07",26:47,6.16,--,4:21,--,--,--,377,--,--,--,--,--,--,--,
false,Nike+ activity #873652812,Running,--,"Fri, Oct 4, 2013 12:34",37:17,8.14,--,4:35,--,--,--,498,--,--,--,--,--,--,--,
false,Nike+ activity #17456310000,Running,--,"Sat, Oct 5, 2013 17:09",34:14,8.64,--,3:58,--,--,--,528,--,--,--,--,--,--,--,
false,Nike+ activity #896118027,Running,--,"Sat, Oct 5, 2013 20:08",1:05:52,11.76,--,5:36,--,--,--,719,--,--,--,--,--,--,--,
false,Nike+ activity #2004146590,Running,--,"Sun, Oct 6, 2013 20:49",25:18,4.95,--,5:08,--,--,--,302,--,--,--,--,--,--,--,
false,Nike+ activity #2015321326,Running,--,"Mon, Oct 7, 2013 15:32",1:13:21,16.74,--,4:23,--,--,--,"1,023",--,--,--,--,--,--,--,
