Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #816610558,Running,--,"Thu, Aug 1, 2013 19:53",42:10,8.11,--,5:13,--,--,--,496,--,--,--,--,--,--,--,
false,Nike+ activity #853201248,Running,--,"Sat, Aug 3, 2013 20:26",45:15,9.16,--,4:58,--,--,--,560,--,--,--,--,--,--,--,
false,Nike+ activity #852901308,Running,--,"Sat, Aug 3, 2013 21:48",13:12,1.79,--,7:24,--,--,--,110,--,--,--,--,--,--,--,
false,Nike+ activity #894052992,Running,--,"Mon, Aug 5, 2013 16:39",1:21:22,15.54,--,5:13,--,--,--,950,--,--,--,--,--,--,--,
false,Nike+ activity #17456296000,Running,--,"Mon, Aug 5, 2013 18:12",24:25,6.01,--,4:03,--,--,--,368,--,--,--,--,--,--,--,
false,Nike+ activity #2004140784,Running,--,"Tue, Aug 6, 2013 20:48",48:24,10.26,--,4:43,--,--,--,627,--,--,--,--,--,--,--,
false,Nike+ activity #2014609253,Running,--,"Wed, Aug 7, 2013 20:42",42:45,9.84,--,4:21,--,--,--,602,--,--,--,--,--,--,--,
false,Nike+ activity #42495479844,Running,--,"Thu, Aug 8, 2013 20:26",41:36,10.11,--,4:07,--,--,--,618,--,--,--,--,--,--,--,
false,Nike+ activity #42513716744,Running,--,"Fri, Aug 9, 2013 17:24",31:12,7.49,--,4:10,--,--,--,458,--,--,--,--,--,--,--,
false,Nike+ activity #2068274576,Running,--,"Sun, Aug 11, 2013 15:37",19:42,4.98,--,3:57,--,--,--,305,--,--,--,--,--,--,--,
false,Nike+ activity #42497189158,Running,--,"Sun, Aug 11, 2013 19:08",1:32:11,21.25,--,4:21,--,--,--,"1,299",--,--,--,--,--,--,--,
false,Nike+ activity #42499006006,Running,--,"Wed, Aug 14, 2013 20:00",43:55,11.06,--,3:58,--,--,--,676,--,--,--,--,--,--,--,
false,Nike+ activity #42500745273,Running,--,"Sat, Aug 17, 2013 19:01",45:02,11.42,--,3:57,--,--,--,698,--,--,--,--,--,--,--,
