Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #624316310,Running,--,"Fri, Dec 2, 2011 16:37",32:24,5.85,--,5:33,--,--,--,357,--,--,--,--,--,--,--,
false,Nike+ activity #641202964,Running,--,"Sat, Dec 3, 2011 17:10",37:02,7.07,--,--,--,--,--,432,--,--,--,--,--,--,--,
false,Nike+ activity #762561936,Running,--,"Sat, Dec 10, 2011 19:54",23:06,4.87,--,--,--,--,--,298,--,--,--,--,--,--,--,
