Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #651265366,Running,--,"Tue, Jan 4, 2011 20:39",28:58,4.49,--,--,--,--,--,275,--,--,--,--,--,--,--,
false,Nike+ activity #694838968,Running,--,"Thu, Jan 6, 2011 20:46",36:35,7.85,--,--,--,--,--,480,--,--,--,--,--,--,--,
false,Nike+ activity #706388278,Running,--,"Fri, Jan 7, 2011 20:34",35:34,7.24,--,4:50,--,--,--,443,--,--,--,--,--,--,--,
false,Nike+ activity #773044356,Running,--,"Tue, Jan 11, 2011 15:08",25:10,5.04,--,5:00,--,--,--,308,--,--,--,--,--,--,--,
