Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #652138061,Running,--,"Fri, Mar 4, 2011 10:46",40:55,9.41,--,4:21,--,--,--,575,--,--,--,--,--,--,--,
false,Nike+ activity #360017654,Running,--,"Sun, Mar 6, 2011 16:43",22:57,5.39,--,--,--,--,--,323,--,--,--,--,--,--,--,
false,Nike+ activity #360617849,Running,--,"Sun, Mar 6, 2011 17:07",8:32,1.70,--,--,--,--,--,101,--,--,--,--,--,--,--,
false,Nike+ activity #695837218,Running,--,"Sun, Mar 6, 2011 20:49",28:02,5.50,--,5:05,--,--,--,336,--,--,--,--,--,--,--,
false,Nike+ activity #707277770,Running,--,"Mon, Mar 7, 2011 19:50",39:47,7.11,--,--,--,--,--,435,--,--,--,--,--,--,--,
false,Nike+ activity #719758274,Running,--,"Tue, Mar 8, 2011 20:38",40:24,7.78,--,5:10,--,--,--,475,--,--,--,--,--,--,--,
false,Nike+ activity #786521198,Running,--,"Sat, Mar 12, 2011 16:41",14:17,3.36,--,4:15,--,--,--,206,--,--,--,--,--,--,--,
false,Nike+ activity #786022065,Running,--,"Sat, Mar 12, 2011 16:57",25:50,5.64,--,4:35,--,--,--,345,--,--,--,--,--,--,--,
false,Nike+ activity #786421410,Running,--,"Sat, Mar 12, 2011 17:29",17:46,2.58,--,6:54,--,--,--,158,--,--,--,--,--,--,--,
