Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #633982097,Running,--,"Sun, Apr 3, 2011 20:34",41:38,8.19,--,--,--,--,--,501,--,--,--,--,--,--,--,
false,Nike+ activity #742265844,Running,--,"Sat, Apr 9, 2011 14:53",51:05,9.06,--,--,--,--,--,554,--,--,--,--,--,--,--,
false,Nike+ activity #786792124,Running,--,"Tue, Apr 12, 2011 17:16",21:11,4.50,--,4:43,--,--,--,275,--,--,--,--,--,--,--,
false,Nike+ activity #785993374,Running,--,"Tue, Apr 12, 2011 17:43",4:18,0.80,--,--,--,--,--,49,--,--,--,--,--,--,--,
