Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #637224398,Running,--,"Wed, Aug 3, 2011 20:40",36:57,7.88,--,--,--,--,--,482,--,--,--,--,--,--,--,
false,Nike+ activity #654712874,Running,--,"Thu, Aug 4, 2011 20:40",20:52,3.73,--,5:21,--,--,--,228,--,--,--,--,--,--,--,
false,Nike+ activity #665532335,Running,--,"Fri, Aug 5, 2011 16:28",30:54,6.22,--,--,--,--,--,381,--,--,--,--,--,--,--,
false,Nike+ activity #665732916,Running,--,"Fri, Aug 5, 2011 17:07",17:20,3.35,--,5:05,--,--,--,205,--,--,--,--,--,--,--,
false,Nike+ activity #787136483,Running,--,"Fri, Aug 12, 2011 20:29",42:59,9.08,--,--,--,--,--,555,--,--,--,--,--,--,--,
false,Nike+ activity #787534863,Running,--,"Fri, Aug 12, 2011 21:25",8:56,1.67,--,--,--,--,--,102,--,--,--,--,--,--,--,
