Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #653363655,Running,--,"Sat, Jun 4, 2011 20:28",27:52,4.97,--,--,--,--,--,304,--,--,--,--,--,--,--,
false,Nike+ activity #664622059,Running,--,"Sun, Jun 5, 2011 20:42",24:58,5.10,--,--,--,--,--,312,--,--,--,--,--,--,--,
false,Nike+ activity #364604553,Running,--,"Mon, Jun 6, 2011 17:40",31:24,6.86,--,4:35,--,--,--,412,--,--,--,--,--,--,--,
false,Nike+ activity #723542786,Running,--,"Wed, Jun 8, 2011 13:08",29:21,5.61,--,--,--,--,--,343,--,--,--,--,--,--,--,
false,Nike+ activity #377460075,Running,--,"Wed, Jun 8, 2011 16:04",49:41,11.49,--,4:15,--,--,--,690,--,--,--,--,--,--,--,
false,Nike+ activity #786844723,Running,--,"Sun, Jun 12, 2011 19:23",57:59,10.90,--,5:13,--,--,--,667,--,--,--,--,--,--,--,
false,Nike+ activity #786930859,Running,--,"Sun, Jun 12, 2011 20:28",6:11,1.36,--,--,--,--,--,83,--,--,--,--,--,--,--,
