Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #346620731,Running,--,"Tue, Jul 5, 2011 15:27",39:44,7.88,--,--,--,--,--,473,--,--,--,--,--,--,--,
false,Nike+ activity #665505960,Running,--,"Tue, Jul 5, 2011 17:27",37:44,7.74,--,4:53,--,--,--,473,--,--,--,--,--,--,--,
false,Nike+ activity #665406215,Running,--,"Tue, Jul 5, 2011 18:27",6:13,1.06,--,5:53,--,--,--,65,--,--,--,--,--,--,--,
false,Nike+ activity #708779279,Running,--,"Thu, Jul 7, 2011 20:46",41:33,8.05,--,--,--,--,--,492,--,--,--,--,--,--,--,
false,Nike+ activity #722466774,Running,--,"Fri, Jul 8, 2011 13:57",34:36,7.37,--,4:41,--,--,--,451,--,--,--,--,--,--,--,
false,Nike+ activity #723165803,Running,--,"Fri, Jul 8, 2011 14:48",28:18,0.82,--,35:18,--,--,--,50,--,--,--,--,--,--,--,
false,Nike+ activity #776385572,Running,--,"Mon, Jul 11, 2011 19:12",53:31,7.31,--,--,--,--,--,447,--,--,--,--,--,--,--,
