Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #633943041,Running,--,"Thu, Feb 3, 2011 20:21",24:41,4.93,--,--,--,--,--,301,--,--,--,--,--,--,--,
false,Nike+ activity #360511363,Running,--,"Sun, Feb 6, 2011 18:03",27:57,5.49,--,--,--,--,--,330,--,--,--,--,--,--,--,
false,Nike+ activity #378619785,Running,--,"Tue, Feb 8, 2011 18:02",21:12,5.09,--,--,--,--,--,305,--,--,--,--,--,--,--,
