Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #711048094,Running,--,"Fri, Oct 7, 2011 19:31",32:57,7.09,--,--,--,--,--,434,--,--,--,--,--,--,--,
false,Nike+ activity #712101849,Running,--,"Fri, Oct 7, 2011 20:05",6:54,1.18,--,5:50,--,--,--,72,--,--,--,--,--,--,--,
false,Nike+ activity #744062381,Running,--,"Sun, Oct 9, 2011 14:59",30:21,--,--,--,--,--,--,361,--,--,--,--,--,--,--,
