Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #810264165,Running,--,"Thu, Nov 1, 2012 19:03",58:07,9.26,--,--,--,--,--,566,--,--,--,--,--,--,--,
false,Nike+ activity #828557840,Running,--,"Fri, Nov 2, 2012 16:06",47:36,10.05,--,4:43,--,--,--,614,--,--,--,--,--,--,--,
false,Nike+ activity #845817198,Running,--,"Sat, Nov 3, 2012 16:30",48:47,7.63,--,--,--,--,--,466,--,--,--,--,--,--,--,
false,Nike+ activity #660122058,Running,--,"Sun, Nov 4, 2012 11:25",34:54,7.24,--,--,--,--,--,442,--,--,--,--,--,--,--,
false,Nike+ activity #868037883,Running,--,"Sun, Nov 4, 2012 20:38",37:32,7.74,--,--,--,--,--,473,--,--,--,--,--,--,--,
false,Nike+ activity #867343657,Running,--,"Sun, Nov 4, 2012 21:24",8:33,1.38,--,--,--,--,--,84,--,--,--,--,--,--,--,
false,Nike+ activity #2023990853,Running,--,"Thu, Nov 8, 2012 20:53",41:36,10.03,--,--,--,--,--,613,--,--,--,--,--,--,--,
false,Nike+ activity #782547408,Running,--,"Sun, Nov 11, 2012 20:23",30:01,5.99,--,5:00,--,--,--,366,--,--,--,--,--,--,--,
false,Nike+ activity #782547409,Running,--,"Sun, Nov 11, 2012 21:17",1:40:20,1.49,--,--:--,--,--,--,91,--,--,--,--,--,--,--,
false,Nike+ activity #2077126215,Running,--,"Mon, Nov 12, 2012 20:42",26:45,5.99,--,--,--,--,--,366,--,--,--,--,--,--,--,
false,Nike+ activity #2070180042,Running,--,"Sun, Nov 25, 2012 15:49",29:10,7.15,--,4:05,--,--,--,437,--,--,--,--,--,--,--,
false,Nike+ activity #2070182031,Running,--,"Sun, Nov 25, 2012 16:23",26:03,6.02,--,4:19,--,--,--,368,--,--,--,--,--,--,--,
false,Nike+ activity #2071634347,Running,--,"Thu, Nov 29, 2012 16:06",23:56,6.20,--,3:52,--,--,--,379,--,--,--,--,--,--,--,
