Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #658502919,Running,--,"Mon, Jun 4, 2012 19:57",41:03,8.43,--,--,--,--,--,515,--,--,--,--,--,--,--,
false,Nike+ activity #885611712,Running,--,"Tue, Jun 5, 2012 16:26",35:30,7.15,--,4:58,--,--,--,437,--,--,--,--,--,--,--,
false,Nike+ activity #701902065,Running,--,"Wed, Jun 6, 2012 19:55",41:39,7.37,--,5:40,--,--,--,450,--,--,--,--,--,--,--,
false,Nike+ activity #748423363,Running,--,"Sat, Jun 9, 2012 17:14",31:34,6.46,--,--,--,--,--,395,--,--,--,--,--,--,--,
false,Nike+ activity #748423417,Running,--,"Sat, Jun 9, 2012 17:50",17:50,3.62,--,--,--,--,--,221,--,--,--,--,--,--,--,
false,Nike+ activity #2062812025,Running,--,"Mon, Jun 11, 2012 14:57",47:19,10.00,--,4:43,--,--,--,611,--,--,--,--,--,--,--,
false,Nike+ activity #792535029,Running,--,"Tue, Jun 12, 2012 12:21",58:10,11.66,--,--,--,--,--,713,--,--,--,--,--,--,--,
false,Nike+ activity #2006080342,Running,--,"Thu, Jun 28, 2012 20:45",31:45,6.84,--,--,--,--,--,418,--,--,--,--,--,--,--,
false,Nike+ activity #2006078539,Running,--,"Thu, Jun 28, 2012 21:17",12:02,2.08,--,--,--,--,--,127,--,--,--,--,--,--,--,
false,Nike+ activity #2006893933,Running,--,"Sat, Jun 30, 2012 20:58",47:01,10.08,--,--,--,--,--,616,--,--,--,--,--,--,--,
false,Nike+ activity #2006907076,Running,--,"Sat, Jun 30, 2012 21:46",3:59,0.73,--,5:27,--,--,--,45,--,--,--,--,--,--,--,
