Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #805414331,Running,--,"Sun, Jul 1, 2012 15:38",52:44,10.28,--,--,--,--,--,629,--,--,--,--,--,--,--,
false,Nike+ activity #866406908,Running,--,"Wed, Jul 4, 2012 17:13",29:10,6.41,--,4:33,--,--,--,392,--,--,--,--,--,--,--,
false,Nike+ activity #683800406,Running,--,"Thu, Jul 5, 2012 20:38",29:21,6.08,--,--,--,--,--,372,--,--,--,--,--,--,--,
false,Nike+ activity #701647356,Running,--,"Fri, Jul 6, 2012 9:59",41:23,10.16,--,4:05,--,--,--,621,--,--,--,--,--,--,--,
false,Nike+ activity #2009440509,Running,--,"Sat, Jul 7, 2012 19:54",44:36,10.30,--,4:19,--,--,--,630,--,--,--,--,--,--,--,
false,Nike+ activity #2009443331,Running,--,"Sat, Jul 7, 2012 20:48",15:01,2.69,--,5:36,--,--,--,164,--,--,--,--,--,--,--,
false,Nike+ activity #748066591,Running,--,"Mon, Jul 9, 2012 19:46",30:26,5.76,--,5:16,--,--,--,352,--,--,--,--,--,--,--,
false,Nike+ activity #2050396223,Running,--,"Tue, Jul 10, 2012 10:00",40:32,10.13,--,4:00,--,--,--,619,--,--,--,--,--,--,--,
false,Nike+ activity #2063207470,Running,--,"Wed, Jul 11, 2012 15:41",1:01:03,13.00,--,4:41,--,--,--,781,--,--,--,--,--,--,--,
false,Nike+ activity #2074571148,Running,--,"Thu, Jul 12, 2012 20:31",41:34,10.01,--,4:10,--,--,--,612,--,--,--,--,--,--,--,
false,Nike+ activity #2016675538,Running,--,"Wed, Jul 25, 2012 20:56",30:20,6.91,--,4:23,--,--,--,422,--,--,--,--,--,--,--,
false,Nike+ activity #2016684127,Running,--,"Wed, Jul 25, 2012 21:32",8:38,1.55,--,--,--,--,--,95,--,--,--,--,--,--,--,
false,Nike+ activity #2017866633,Running,--,"Sat, Jul 28, 2012 20:50",43:03,10.34,--,4:10,--,--,--,632,--,--,--,--,--,--,--,
false,Nike+ activity #2019125255,Running,--,"Tue, Jul 31, 2012 20:43",43:07,10.04,--,--,--,--,--,614,--,--,--,--,--,--,--,
