Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #808715445,Running,--,"Wed, Aug 1, 2012 15:58",46:16,8.56,--,--,--,--,--,524,--,--,--,--,--,--,--,
false,Nike+ activity #628154723,Running,--,"Thu, Aug 2, 2012 15:09",33:02,6.90,--,4:48,--,--,--,422,--,--,--,--,--,--,--,
false,Nike+ activity #645428197,Running,--,"Fri, Aug 3, 2012 16:37",42:17,8.04,--,5:16,--,--,--,492,--,--,--,--,--,--,--,
false,Nike+ activity #888281331,Running,--,"Sun, Aug 5, 2012 16:25",51:45,9.16,--,--,--,--,--,560,--,--,--,--,--,--,--,
false,Nike+ activity #689000698,Running,--,"Sun, Aug 5, 2012 20:44",34:05,7.14,--,4:46,--,--,--,436,--,--,--,--,--,--,--,
false,Nike+ activity #101854791,Running,--,"Mon, Aug 6, 2012 20:40",35:11,7.92,--,4:27,--,--,--,484,--,--,--,--,--,--,--,
false,Nike+ activity #2009838401,Running,--,"Tue, Aug 7, 2012 18:25",43:00,--,--,--,--,--,--,619,--,--,--,--,--,--,--,
false,Nike+ activity #732222511,Running,--,"Wed, Aug 8, 2012 19:26",22:08,4.19,--,5:16,--,--,--,256,--,--,--,--,--,--,--,
false,Nike+ activity #2022578236,Running,--,"Wed, Aug 8, 2012 20:10",44:35,10.13,--,--,--,--,--,619,--,--,--,--,--,--,--,
false,Nike+ activity #781856713,Running,--,"Sat, Aug 11, 2012 11:05",56:51,11.24,--,--,--,--,--,687,--,--,--,--,--,--,--,
false,Nike+ activity #2030352918,Running,--,"Sat, Aug 25, 2012 18:13",43:43,10.17,--,4:17,--,--,--,621,--,--,--,--,--,--,--,
false,Nike+ activity #2030362153,Running,--,"Sat, Aug 25, 2012 19:04",18:08,3.77,--,--,--,--,--,230,--,--,--,--,--,--,--,
false,Nike+ activity #2030807214,Running,--,"Sun, Aug 26, 2012 18:03",1:00:58,13.52,--,4:27,--,--,--,827,--,--,--,--,--,--,--,
false,Nike+ activity #2031891071,Running,--,"Tue, Aug 28, 2012 20:35",52:47,12.26,--,4:19,--,--,--,749,--,--,--,--,--,--,--,
false,Nike+ activity #2032864295,Running,--,"Thu, Aug 30, 2012 20:07",42:41,9.59,--,--,--,--,--,586,--,--,--,--,--,--,--,
