Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #667951136,Running,--,"Mon, Mar 5, 2012 18:05",17:18,3.69,--,4:41,--,--,--,225,--,--,--,--,--,--,--,
false,Nike+ activity #667753386,Running,--,"Mon, Mar 5, 2012 18:31",2:57,0.50,--,5:53,--,--,--,31,--,--,--,--,--,--,--,
false,Nike+ activity #700529018,Running,--,"Tue, Mar 6, 2012 20:31",34:45,--,--,--,--,--,--,435,--,--,--,--,--,--,--,
false,Nike+ activity #713737197,Running,--,"Wed, Mar 7, 2012 20:46",19:18,3.80,--,5:05,--,--,--,233,--,--,--,--,--,--,--,
false,Nike+ activity #764740165,Running,--,"Sat, Mar 10, 2012 17:58",29:02,6.15,--,4:43,--,--,--,376,--,--,--,--,--,--,--,
false,Nike+ activity #764839818,Running,--,"Sat, Mar 10, 2012 18:29",5:59,0.95,--,6:19,--,--,--,58,--,--,--,--,--,--,--,
false,Nike+ activity #2061616792,Running,--,"Sun, Mar 11, 2012 16:49",25:47,6.15,--,--,--,--,--,376,--,--,--,--,--,--,--,
false,Nike+ activity #780416081,Running,--,"Sun, Mar 11, 2012 19:21",39:03,6.81,--,5:43,--,--,--,416,--,--,--,--,--,--,--,
false,Nike+ activity #791016887,Running,--,"Mon, Mar 12, 2012 20:49",38:21,7.49,--,5:08,--,--,--,458,--,--,--,--,--,--,--,
false,Nike+ activity #856236075,Running,--,"Mon, Mar 26, 2012 20:34",38:36,7.85,--,--,--,--,--,480,--,--,--,--,--,--,--,
false,Nike+ activity #856236080,Running,--,"Mon, Mar 26, 2012 21:38",23:01,1.75,--,--,--,--,--,107,--,--,--,--,--,--,--,
false,Nike+ activity #858717734,Running,--,"Thu, Mar 29, 2012 20:27",44:35,7.38,--,6:04,--,--,--,451,--,--,--,--,--,--,--,
false,Nike+ activity #860248205,Running,--,"Sat, Mar 31, 2012 17:21",27:19,5.28,--,5:10,--,--,--,323,--,--,--,--,--,--,--,
