Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #647812176,Running,--,"Mon, Dec 3, 2012 20:34",50:30,9.66,--,--,--,--,--,591,--,--,--,--,--,--,--,
false,Nike+ activity #887182740,Running,--,"Wed, Dec 5, 2012 10:51",28:08,6.63,--,4:15,--,--,--,405,--,--,--,--,--,--,--,
false,Nike+ activity #888281334,Running,--,"Wed, Dec 5, 2012 11:20",42:38,8.33,--,--,--,--,--,510,--,--,--,--,--,--,--,
false,Nike+ activity #2001543918,Running,--,"Thu, Dec 6, 2012 20:31",27:07,5.86,--,4:37,--,--,--,359,--,--,--,--,--,--,--,
false,Nike+ activity #716924928,Running,--,"Fri, Dec 7, 2012 13:51",55:56,10.02,--,--,--,--,--,613,--,--,--,--,--,--,--,
false,Nike+ activity #2024406096,Running,--,"Sat, Dec 8, 2012 17:42",43:11,10.18,--,--,--,--,--,622,--,--,--,--,--,--,--,
false,Nike+ activity #734947975,Running,--,"Sat, Dec 8, 2012 20:37",33:17,7.08,--,--,--,--,--,433,--,--,--,--,--,--,--,
false,Nike+ activity #751208625,Running,--,"Sun, Dec 9, 2012 17:29",40:31,8.06,--,--,--,--,--,493,--,--,--,--,--,--,--,
false,Nike+ activity #750250922,Running,--,"Sun, Dec 9, 2012 18:15",29:52,5.03,--,5:56,--,--,--,307,--,--,--,--,--,--,--,
false,Nike+ activity #2038951877,Running,--,"Sun, Dec 9, 2012 19:23",30:52,7.36,--,4:12,--,--,--,450,--,--,--,--,--,--,--,
false,Nike+ activity #2038952881,Running,--,"Sun, Dec 9, 2012 20:01",10:09,2.25,--,4:31,--,--,--,138,--,--,--,--,--,--,--,
false,Nike+ activity #771967626,Running,--,"Mon, Dec 10, 2012 18:09",25:08,5.38,--,4:41,--,--,--,329,--,--,--,--,--,--,--,
false,Nike+ activity #772467481,Running,--,"Mon, Dec 10, 2012 18:38",6:10,1.01,--,--,--,--,--,62,--,--,--,--,--,--,--,
false,Nike+ activity #2081720097,Running,--,"Sat, Dec 29, 2012 11:02",30:25,7.03,--,--,--,--,--,430,--,--,--,--,--,--,--,
false,Nike+ activity #2082474684,Running,--,"Mon, Dec 31, 2012 11:08",35:48,8.09,--,4:25,--,--,--,495,--,--,--,--,--,--,--,
