Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #825941938,Running,--,"Mon, Apr 2, 2012 15:14",1:36:23,21.14,--,--,--,--,--,"1,293",--,--,--,--,--,--,--,
false,Nike+ activity #838358396,Running,--,"Tue, Apr 3, 2012 10:25",1:47:06,22.74,--,4:43,--,--,--,"1,390",--,--,--,--,--,--,--,
false,Nike+ activity #642722116,Running,--,"Tue, Apr 3, 2012 20:35",48:11,10.12,--,4:46,--,--,--,619,--,--,--,--,--,--,--,
false,Nike+ activity #658083048,Running,--,"Wed, Apr 4, 2012 17:22",21:13,4.07,--,--,--,--,--,249,--,--,--,--,--,--,--,
false,Nike+ activity #2008440821,Running,--,"Sat, Apr 7, 2012 20:47",21:43,5.09,--,4:15,--,--,--,311,--,--,--,--,--,--,--,
false,Nike+ activity #2008439971,Running,--,"Sat, Apr 7, 2012 21:20",27:10,5.23,--,--,--,--,--,320,--,--,--,--,--,--,--,
false,Nike+ activity #2020756593,Running,--,"Sun, Apr 8, 2012 18:26",44:43,10.25,--,--,--,--,--,627,--,--,--,--,--,--,--,
false,Nike+ activity #2020764157,Running,--,"Sun, Apr 8, 2012 19:12",7:09,1.39,--,--,--,--,--,85,--,--,--,--,--,--,--,
false,Nike+ activity #2035157805,Running,--,"Mon, Apr 9, 2012 19:30",36:44,8.41,--,--,--,--,--,514,--,--,--,--,--,--,--,
false,Nike+ activity #764669764,Running,--,"Tue, Apr 10, 2012 17:22",29:46,6.32,--,4:43,--,--,--,387,--,--,--,--,--,--,--,
false,Nike+ activity #764669769,Running,--,"Tue, Apr 10, 2012 17:53",21:47,4.16,--,5:13,--,--,--,254,--,--,--,--,--,--,--,
false,Nike+ activity #875816848,Running,--,"Wed, Apr 25, 2012 19:52",34:33,5.92,--,5:50,--,--,--,362,--,--,--,--,--,--,--,
false,Nike+ activity #880217265,Running,--,"Sat, Apr 28, 2012 17:49",1:01:40,13.13,--,--,--,--,--,802,--,--,--,--,--,--,--,
