Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Best Efficiency,Training Effect,
false,Nike+ activity #883884921,Running,--,"Sat, May 5, 2012 17:31",1:01:29,12.99,--,--,--,--,--,794,--,--,--,--,--,--,--,
false,Nike+ activity #903027666,Running,--,"Sun, May 6, 2012 20:38",35:34,7.34,--,--,--,--,--,449,--,--,--,--,--,--,--,
false,Nike+ activity #901094620,Running,--,"Sun, May 6, 2012 21:18",5:27,0.96,--,5:40,--,--,--,59,--,--,--,--,--,--,--,
false,Nike+ activity #713974210,Running,--,"Mon, May 7, 2012 17:02",26:08,5.35,--,--,--,--,--,327,--,--,--,--,--,--,--,
false,Nike+ activity #2021192030,Running,--,"Tue, May 8, 2012 19:04",42:28,10.07,--,4:14,--,--,--,616,--,--,--,--,--,--,--,
false,Nike+ activity #2021183598,Running,--,"Tue, May 8, 2012 19:49",4:18,0.95,--,4:31,--,--,--,58,--,--,--,--,--,--,--,
false,Nike+ activity #792217633,Running,--,"Sat, May 12, 2012 15:52",54:19,12.02,--,4:31,--,--,--,735,--,--,--,--,--,--,--,
false,Nike+ activity #2073920514,Running,--,"Sat, May 12, 2012 19:41",21:56,5.70,--,--,--,--,--,349,--,--,--,--,--,--,--,
false,Nike+ activity #2073915665,Running,--,"Sat, May 12, 2012 20:39",6:24,1.31,--,4:53,--,--,--,80,--,--,--,--,--,--,--,
false,Nike+ activity #897358429,Running,--,"Sat, May 26, 2012 12:17",38:00,7.28,--,5:13,--,--,--,445,--,--,--,--,--,--,--,
false,Nike+ activity #898524023,Running,--,"Sun, May 27, 2012 8:36",19:17,2.67,--,7:14,--,--,--,163,--,--,--,--,--,--,--,
false,Nike+ activity #898625484,Running,--,"Sun, May 27, 2012 9:00",40:33,--,--,--,--,--,--,566,--,--,--,--,--,--,--,
false,Nike+ activity #898913039,Running,--,"Mon, May 28, 2012 17:52",39:25,7.49,--,--,--,--,--,458,--,--,--,--,--,--,--,
