Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Untitled,Running,--,"Sat, May 30, 2015 17:44",5:42,1.01,--,5:38,5:11,--,--,63,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, May 30, 2015 17:11",30:55,6.02,--,5:08,3:50,--,--,382,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, May 17, 2015 16:54",7:56,1.29,--,6:09,4:59,--,--,82,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, May 17, 2015 16:18",35:21,7.02,--,5:02,4:23,--,--,448,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, May 10, 2015 15:10",20:30,4.05,--,5:03,3:43,--,--,257,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, May 3, 2015 17:05",15:25,2.62,--,5:53,4:50,--,--,167,--,--,--,--,--,--,
