Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Untitled,Running,--,"Sat, Feb 21, 2015 15:21",33:27,6.02,--,5:33,4:58,--,--,380,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Feb 15, 2015 13:34",4:09,0.61,--,6:47,6:06,--,--,37,--,--,--,--,--,--,
false,Untitled,Running,--,"Sun, Feb 15, 2015 13:07",26:02,5.30,--,4:55,4:33,--,--,337,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Feb 8, 2015 12:35",11:16,2.02,0,5:35,:45,--,--,128,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Feb 8, 2015 12:05",29:30,6.07,--,4:51,1:53,--,--,384,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Feb 7, 2015 17:07",25:37,5.14,--,4:59,3:55,--,--,327,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Feb 1, 2015 15:36",30:33,6.18,--,4:56,3:21,--,--,392,--,--,--,--,--,--,
