Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Montcy-Notre-Dame Running,Running,--,"Sun, Dec 27, 2015 11:56",34:45,5.34,135,6:30,:23,--,--,332,--,--,--,--,--,--,
false,Montcy-Notre-Dame Running,Running,--,"Sat, Dec 26, 2015 11:28",1:07:38,11.16,175,6:04,3:35,--,--,679,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Dec 20, 2015 16:29",42:26,7.87,18,5:23,1:48,--,--,505,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Dec 19, 2015 16:08",6:46,1.02,--,6:38,6:15,--,--,65,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Dec 19, 2015 15:42",24:55,4.47,--,5:34,4:15,--,--,282,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Dec 12, 2015 16:05",3:27,0.47,--,7:23,7:07,--,--,28,--,--,--,--,--,--,
false,Untitled,Running,--,"Sat, Dec 12, 2015 15:47",16:15,2.79,--,5:49,5:00,--,--,176,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Dec 5, 2015 16:26",17:53,3.46,1,5:10,2:36,--,--,221,--,--,--,--,--,--,
