Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Clichy Running,Running,--,"Sun, Jul 26, 2015 19:30",26:13,5.06,0,5:11,4:09,--,--,322,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jul 25, 2015 20:49",1:02:02,12.79,3,4:51,3:11,--,--,818,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jul 19, 2015 16:55",1:00:00,11.64,4,5:09,3:02,--,--,743,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Tue, Jul 14, 2015 15:17",1:00:03,11.44,2,5:15,3:25,--,--,733,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jul 11, 2015 17:39",2:44,0.43,--,6:24,4:36,--,--,25,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sat, Jul 11, 2015 16:37",1:00:00,10.88,7,5:31,1:43,--,--,695,--,--,--,--,--,--,
true,Clichy Running,Running,--,"Sun, Jul 5, 2015 15:26",1:00:01,11.56,3,5:12,1:49,--,--,744,--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Jul 5, 2015 15:23",2:54,0.50,--,5:46,5:24,--,--,32,--,--,--,--,--,--,
true,Energizer Night Run Paris 2015.,Running,--,"Sat, Jul 4, 2015 22:30",28:12,6.33,106,4:27,3:11,--,--,400,--,--,--,--,--,--,
