Favorite,Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,Total Strokes,Avg Strokes,Min Strokes,Avg SWOLF,Best SWOLF,Training Effect,
false,Clichy Running,Running,--,"Sun, Sep 27, 2015 16:47",1:00:02,8.21,5,7:19,6:10,142,154,451,--,--,--,--,--,2.4,
true,Clichy Running,Running,--,"Sat, Sep 26, 2015 16:01",1:41:58,22.04,50,4:38,:49,--,--,"1,375",--,--,--,--,--,--,
false,Clichy Running,Running,--,"Sun, Sep 20, 2015 11:08",1:33:34,18.11,399,5:10,3:26,173,194,985,--,--,--,--,--,5.0,
false,Clichy Running,Running,--,"Sat, Sep 19, 2015 13:26",1:02:48,13.64,45,4:36,3:25,182,196,833,--,--,--,--,--,5.0,
false,Clichy Running,Running,--,"Sun, Sep 13, 2015 15:45",1:06:29,13.01,18,5:07,3:34,--,--,828,--,--,--,--,--,--,
